SellerSKU,Title,Quantity,ProductID,UPC,Weight,Shipping fee,Price final,Price,Price Min,Price Max
HNRST-ALESS30554,Alessi Breadsticks Rosemary - Case Of 12 - 3 Oz,204,B000FDN6Y4,071072030554,4.14,8,30.29,16.25,29.29,79.29
HNRST-IF YO50194,If You Care Baking Cups - Jumbo - Unbleached Totally Chlorine Free - 24 Count,52,B003XUJ51Y,770009250194,2.03,8,57.22,36.64,56.22,106.22
HNRST-CARDI10528,Cardinis Caesar Croutons - Case of 12 - 5 oz,402,B000HQKTOY,071475010528,4.8,8,36.89,20.36,35.89,85.89
HNRST-CARDI15011,Cardinis Croutons - Garlic - Case of 12 - 5 oz,390,B000HQMSVQ,071475015011,4.81,8,36.89,20.36,35.89,85.89
HNRST-BADIA01070,Badia Spices Crushed Red Pepper - Case of 12 - 4.5 oz.,0,B00F02Y49G,033844001070,4.85,8,36.67,20.17,35.67,85.67
HNRST-ANNAS18262,Annas Pepparkakor - Original - Orange Thins - 5.25 oz - case of 12,162,B000EGR85A,054358018262,4.92,8,39.20,22.32,38.20,88.20
HNRST-AK MA00011,AK Mak Bakeries Armenian Bread - Sesame Crackers - Case of 12 - 4.15 oz.,105,B000H225TU,071105000011,4.67,8,42.02,24.72,41.02,91.02
HNRST-DR. O21012,Dr. Oetker Organics Lemon Pie Filling and Dessert Mix - Case of 12 - 7.5 oz.,0,B000HDONMG,058336121012,6.8,8,31.74,17.48,30.74,80.74
HNRST-BAHLS91409,Bahlsen Choco Leibniz Butter and Dark Chocolate - Case of 12 - 4.4 oz.,0,B000FBQ56M,070569291409,4.05,8,47.71,29.55,46.71,96.71
HNRST-MANIS01882,Manischewitz Chicken Broth - Case of 12 - 10.5 Fl oz.,1,B001SB1ONC,072700101882,9.56,13,40.18,19.65,39.18,89.18
HNRST-BADIA06198,Badia Spices Cilantro Spice - Case of 6 - 2 oz.,0,B002C562L2,033844006198,2.45,8,28.53,14.75,27.53,77.53
HNRST-MANIS01288,Manischewitz Soup Clear Chicken with Matzo Balls - Case of 12 - 10.5 oz.,18,B000HP9MTI,072700101288,10.03,14,47.06,23,46.06,96.06
HNRST-DYNAS26237,Dynasty Oil - Hot Chili - Case of 12 - 5.5 FL oz.,14,B00CHUHAYU,011152026237,8.96,8,47.81,29.64,46.81,96.81
