InventoryAction,Site,SellerSKU,Quantity,Price
Modify,Shopify,1696236,122,2.50
Modify,Shopify,1696244,529,2.50
Modify,Shopify,1696418,15,32.78
Modify,Shopify,1696624,212,45.31
Modify,Shopify,1698075,47,25.65
Modify,Shopify,1698463,894,5.07
Modify,Shopify,1698612,66,8.42
Modify,Shopify,1699123,44,17.07
Modify,Shopify,1700566,34,57.86
Modify,Shopify,1701127,26,49.95
Modify,Shopify,1701259,382,11.25
Modify,Shopify,1701291,66,19.04
Modify,Shopify,1701358,278,13.25
Modify,Shopify,1701556,566,5.19
Modify,Shopify,1701622,44,44.05
Modify,Shopify,1701879,269,14.61
Modify,Shopify,1701895,465,25.71
Modify,Shopify,1701945,495,4.64
Modify,Shopify,1702117,43,22.12
Modify,Shopify,1702281,87,4.08
Modify,Shopify,1702315,18,7.67
Modify,Shopify,1702455,24,11.36
Modify,Shopify,1702927,104,7.47
Modify,Shopify,1703032,758,9.24
Modify,Shopify,1703164,67,23.98
Modify,Shopify,1703313,298,28.16
Modify,Shopify,1703420,48,24.27
Modify,Shopify,1703529,75,10.30
Modify,Shopify,1704733,0,15.88
Modify,Shopify,1705474,33,31.74
Modify,Shopify,1705615,1,27.24
Modify,Shopify,1705771,49,17.80
Modify,Shopify,1706035,745,3.59
Modify,Shopify,1706381,17,7.85
Modify,Shopify,1707132,407,30.58
Modify,Shopify,1709211,101,31.56
Modify,Shopify,1709260,265,37.90
Modify,Shopify,1709369,65,18.88
Modify,Shopify,1709468,127,23.38
Modify,Shopify,1709641,211,43.57
Modify,Shopify,1710169,39,22.08
Modify,Shopify,1710482,146,29.23
Modify,Shopify,1711167,0,6.94
Modify,Shopify,1711720,0,3.69
Modify,Shopify,1711753,122,3.69
Modify,Shopify,1713015,180,41.73
Modify,Shopify,1713130,1,15.90
Modify,Shopify,1713320,706,12.16
Modify,Shopify,1714443,731,83.52
Modify,Shopify,1714450,24,22.06
Modify,Shopify,1715028,88,41.52
Modify,Shopify,1715960,38,19.79
Modify,Shopify,1716471,108,21.66
Modify,Shopify,1716935,14,29.81
Modify,Shopify,1717016,115,17.08
Modify,Shopify,1717206,149,19.32
Modify,Shopify,1718626,23,12.76
Modify,Shopify,1718634,11,11.75
Modify,Shopify,1718675,549,23.44
Modify,Shopify,1718733,505,14.62
Modify,Shopify,1718832,50,54.27
Modify,Shopify,1718857,5,26.10
Modify,Shopify,1719236,13,31.02
Modify,Shopify,1719467,174,24.87
Modify,Shopify,1719509,150,24.87
Modify,Shopify,1719863,5,27.84
Modify,Shopify,1720010,296,17.02
Modify,Shopify,1721240,519,5.88
Modify,Shopify,1721430,503,43.57
Modify,Shopify,1724152,303,16.10
Modify,Shopify,1724913,441,18.93
Modify,Shopify,1724939,303,2.45
