Product Description	SKU	ASIN	Condition	Supplier	Price	Sales last 30 days (sales)	Sales last 30 days (units)	Total Inventory	Inbound Inventory	Available Inventory	Reserved - FC transfer	Reserved - FC processing	Reserved - Customer Order	Unfulfillable	Fulfilled by	Days of Supply	Instock Alert	Recommended Order Quantity	Recommended Order Date
Burts Scrub Cranbrry/Pomg Size 8z	MCBUR04023NA01-dt	B00FUMR63W	New	unassigned	15.57	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Plackers Back Teeth Micro Mint Flossers -  4 bags of 75	MCPLA94516NA04-FBA	B01MQ2QK4U	New	unassigned	13.56	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Burts Bby Bee Dusting Pow Size 4.5z (pack of 2)	MCBUR65995NA02-dt	B00EPI21JG	New	unassigned	15.62	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
ThermaCare Advanced Multi-Purpose Muscle Pain Therapy (3 Count, Pack of 3) Heatwraps, Up to 8 Hours of Pain Relief, Temporary Relief of Muscular Pains	V4THE13038NA03	B00T3GSRZM	New	unassigned	40.50	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Neutrogena Rainbath 16 Ounce Fresh Plum Shower & Bath Gel (473ml) (2 Pack)	STNEU10584NA02-dt	B075VBW5TX	New	unassigned	28.98	57.96	2	0	0	0	0	0	0	0	Amazon	0	out_of_stock	2	11/16/2018
Bob's Red Mill Cereal Oat Bran, 18-Ounce (Pack of 4)	MCOBS01436NA04-FBA	B004VLVASA	New	unassigned	24.14	0.0	0	110	110	0	0	0	0	0	Amazon				
Phazyme Ultra Strength Softgel 180 Mg, 48 Fast Gels-Relieves Gas Fast-Relieves Bloating, Discomfort and Pressure	STPHA05080NA01-dt	B01FRZYL8O	New	unassigned	15.03	0.0	0	0	0	0	0	20	0	0	Amazon	0	out_of_stock	0	
Bag Balm Lip Ointment, 1 Ounce	STBAG06051NA01	B00ED75IQW	New	unassigned	8.54	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Con Comb Shower Size Ea Conair Shower Comb 1ct,Pack of 2	MCCON33854NA02-FBA	B01IAEH5EQ	New	unassigned	7.36	176.96	24	0	0	0	0	0	0	0	Amazon	0	out_of_stock	14	11/16/2018
Boiron Gelsemium sempervirens (80 Pellets)	MCGEL33135NA01-FBA	B00014FE2O	New	unassigned	9.92	0.0	0	48	48	0	0	0	0	0	Amazon				
Boiron Gelsemium Sempervirens 200C, 80 Pellets, Homeopathic Medicine for Stage Fright, Apprehension and Fever	MCGEL33319NA01-FBA	B0006NXGDY	New	unassigned	11.59	0.0	0	24	24	0	0	0	0	0	Amazon				
Sulfur 8 Deep Cleaning Shampoo for Dandruff, 7.5 Ounce	MCSUL39106NA01-FBA	B0046MM1ZA	New	unassigned	8.68	0.0	0	36	36	0	0	0	0	0	Amazon				
SheaMoisture 100% Virgin Coconut Oil Shea Butter Soap, 8 Ounce	MCSHE20426NA01-FBA	B071S6PNDS	New	unassigned	8.29	0.0	0	24	0	24	0	0	0	0	Amazon	365+			
Albolene Moisturizing Cleanser, 6 Oz	894110016408	B000L1AY3G	New	unassigned	10.30	103.2	10	300	26	274	0	0	0	0	Amazon	365+			
Indian Hemp & Tamanu CO-Wash Nubian Heritage 12 oz Liquid	MCIND11320NA01-FBA	B074V193RV	New	unassigned	11.99	25.38	2	10	0	10	0	0	0	0	Amazon	126		2	03/11/2019
Chafezone Skin Protectant – Anti-Chafe Stick Stick – Anti-Chafing – Prevents Chafing - 1/8 oz (3.5gm) 5 Pack Box	STMED31128NA01-dt	B01N8WNJQY	New	unassigned	8.97	80.73	9	16	0	16	0	0	0	0	Amazon	16	low_stock	0	
Johnson's Baby Powder, 9 oz.	STJOH30218NA01	B000GCL43O	New	unassigned	10.37	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock	0	
Fairy Tales Rosemary Repel Daily Kid Shampoo (12 oz) & Conditioning Spray (8 oz) Duo for Lice Prevention	STROS02551NA01-FBA	B01MCWCHR8	New	unassigned	21.93	7601.35	349	1	0	0	1	0	0	0	Amazon	0	low_stock	219	11/16/2018
